label,coordinate
6255,380.06040
Argyle Avenue,382.62842
6229,385.34741
6227,385.72766
6225,386.09500
6223,386.23070
6221,386.57530
6219,386.90802
6215,387.42294
6209,388.55577
6207,388.84095
6203,389.33211
6201,389.50639
El Centro Avenue,390.48712
6121,392.97616
Gower Street,398.48661
6095,399.35326
6093,399.74143
6091,400.66829
6087,401.30204
6081,402.51408
6069,404.50247
6063,405.57984
6055,407.57615
La Blaig Avenue,408.33680
6023,408.85553
6021,409.36222
6019,409.58403
6017,409.76623
6015,410.07518
6013,410.30492
6011,410.58218
6009,410.77231
6007,411.09000
6005,411.79819
6003,412.02000
6001,412.34084
Gordon Street,412.94779
5939,414.74116
5925,418.23500
5907,420.49639
5905,420.97566
5901,421.25689
Bronson Avenue,422.65827
5857,424.19194
5851,425.42379
5849,425.91098
5831,428.26377
5825,431.17902
5817,432.03458
5801,433.29415
Van Ness Avenue,434.77920
5757,435.64298
5751,436.39952
Hollywood Freeway,442.04488
North Wilton Place,446.82995
5657,448.80515
5641,450.02908
5639,450.90049
5625,452.98790
5621,454.30689
5615,455.25751
5609,456.57254
North Saint Andrew's Place,458.70638
5565,459.39668
5555,459.50500
5553,459.58000
5551,459.65810
5549,459.89972
5547,460.55327
5545,461.78500
5543,461.88018
5541,462.24855
5539,462.47036
5537,463.10411
5535,463.51209
5533,464.05473
5529,464.75978
5527,465.12815
5525,465.37768
5523,465.67872
5521,466.05896
5519,466.57389
5515,467.06504
5509,467.79385
Western Avenue,471.10667
5453,473.52136
5451,473.93725
5445,475.07800
5435,476.09596
5419,478.15168
5409,480.44506
5405,481.25705
5401,482.21956
Serrano Avenue,482.94797
5357,484.15645
5351,484.60404
5343,485.36057
5341,485.70914
5325,486.39042
5319,486.49000
5317,486.78255
5313,488.52500
5301,489.63442
Hobart Boulevard,490.98186
5287,492.34369
5271,493.59535
5265,494.54993
5255,496.79578
North Harvard Boulevard,498.07282
5237,498.98221
5235,499.23571
5233,499.66349
5231,499.75000
5229,499.97000
5225,500.14673
5213,500.82404
5211,501.43799
5209,501.74694
5207,502.21433
5205,502.70945
5203,503.32339
5201,503.67591
North Kingsley Drive,504.11560
5187,504.94737
5185,505.39100
5183,505.73956
5167,506.35350
5161,507.94976
5153,508.70233
Winona Boulevard,510.33311
5143,511.01156
5125-5137,512.89300
5125,514.24367
5121,514.77048
5115,516.03798
5107,517.34508
5105,517.63423
5103,518.01448
5101,518.44622
Normandie Avenue,519.44975
5067,520.93368
5065,521.19511
5063,521.45257
5061,521.95560
5057,522.88246
5055,523.38946
5053,523.47660
5051,524.27275
North Mariposa Avenue,525.45757
5025,527.35039
5007,529.83785
North Alexandria Avenue,531.60511
4975,532.69765
4971,533.56905
4969,534.15923
4965,534.28500
4963,534.79298
4961,535.13758
4959,535.32770
4957,535.67627
4955,536.00898
4953,536.32586
4951,536.82097
Kenmore Avenue,537.64824
4929,538.79748
Edgemont Street,543.65612
4867,547.03621
4801,554.64912
4777,556.06000
4747,556.63751
4733,559.14477
4711,564.83267
4705,566.49626
Vermont Avenue,567.89764
4661,570.36609
4635,573.99034
4629,574.84194
4625,575.90743
4621,576.48176
4619,576.90162
4611,577.65500
4601,579.17123
Rodney Drive,580.05331
4551,581.61117
2427,743.03485
1459,832.64065
1555,814.19913
4301,624.17530
2911,708.74348
2901,710.12348
2905,709.33348
2903,709.54848
4329,619.95031
4325,620.40310
4327,620.18559
2919,707.91978
2925,706.66478
3141,693.98435
2429,742.78672
2435,742.02217
2431,742.63856
2147,767.03217
2145,767.79717
2149,766.72217
2815,719.01217
1727,799.93913
1291,863.81565
1529,819.32848
1467,830.78007
2155,766.04523
2133,769.12522
925,912.87565
4407,604.97229
4381,608.97500
1029,903.53554
2607,734.98217
3333,682.52941
4367,611.18500
4359,612.79148
2613,734.27217
2127,769.93217
4409,604.70106
1509,822.61978
3815,651.94500
1561,813.46278
3131,695.73000
4323,620.72106
1385,847.88630
1383,848.17130
1381,848.57130
1619,807.51913
2751,722.55217
3801,653.66870
1535,817.36775
3123,696.91435
4335,619.12548
3337,681.82152
1541,816.07848
1533,818.72913
3513,670.85500
3339,681.50652
1721,800.60413
1391,846.88909
1477,828.44995
4427,601.69000
1841,793.39022
1825,795.15543
2843,714.69674
1571,811.98913
2109,773.28370
1827,794.81543
2623,732.96717
2619,733.70174
2621,733.12217
4439,599.91447
1301,860.72565
2209,762.43217
4417,603.16085
1463,831.90913
3725,657.83370
2213,761.96217
1627,806.00802
2125,770.39717
2615,734.07717
2239,757.37217
4419,602.65118
4391,606.18000
2701,730.98717
3921,644.80473
1271,867.50338
3329,683.37412
1293,863.57565
1501,823.58682
2813,719.74717
4413,604.34605
4445,598.21609
2845,714.54391
1461,832.34413
3303,686.81652
4517,588.73458
2227,759.13217
4011,640.72000
1457,833.29630
3511,671.37565
4337,618.89020
3037,701.06435
2129,769.64717
1025,905.22065
2861,712.16891
1901,788.47522
1539,816.53848
3603,665.74978
1613,808.24248
2237,757.53717
2233,758.14717
2139,768.59022
3731,657.05870
1299,862.76565
1331,856.77565
4521,588.18093
1707,802.83913
2717,729.32217
4429,601.46377
2809,721.26217
2807,721.64217
2251,757.15197
3313,685.01000
4441,599.18000
1701,803.70913
2835,716.04326
2151,766.43012
1289,864.42565
1449,835.94565
1361,851.34893
4459,596.33000
4451,596.96109
1925,785.93522
2035,778.18739
1273,867.34655
4385,607.36000
2741,724.39217
3729,657.25870
2229,758.75217
1807,796.67022
1803,797.81522
2203,763.62217
2157,765.87216
3325,684.10000
3529,669.14500
4435,600.08000
4437,600.03731
1487,826.65913
1453,833.69565
1809,796.33522
2421,743.65696
1537,817.09113
1717,801.11913
4527,587.90199
1557,813.93628
2205,763.37026
1069,897.57065
2423,743.43471
1275,866.85565
1519,820.60167
1323,857.76413
1321,858.01413
3823,651.13870
4319,621.14999
3817,651.79370
2837,715.41174
1061,898.29565
1261,868.04565
4443,598.52109
3319,684.82652
2517,735.53717
3735,656.04870
4339,617.51000
1341,854.62796
3819,651.41000
1525,819.91829
4531,586.84746
3233,688.16500
3229,689.17435
3903,646.68370
1569,812.66851
1371,849.68891
1375,849.42891
4321,620.91492
2927,706.28500
2839,715.14174
4421,602.49590
1531,818.89845
2943,704.81935
4535,586.40355
4313,614.63000
4341,617.16000
3705,660.06130
1611,808.51893
1829,794.52804
1623,806.67841
2235,757.90717
3331,683.07652
1185,881.76962
2827,716.65022
3925,643.28500
3923,644.03500
3235,688.02000
1545,815.82913
1621,806.92620
3917,645.19761
2225,759.40217
1229,873.02565
3321,684.79000
1801,798.07022
1295,863.14065
2207,762.92299
1631,805.76023
2847,714.34391
4003,640.94000
1503,823.33885
4331,619.63661
3607,664.72478
4529,587.65500
1479,828.10036
1439,836.83130
1427,839.21630
1731,799.57413
3517,670.24500
1115,888.30145
4533,586.62551
3515,670.68500
1509,822.61978
2011,781.38522
2131,769.46022
2609,734.64717
1243,871.88565
1489,825.86413
1283,865.14703
2719,728.10217
1397,845.20130
1357,852.29630
1549,815.20413
3719,658.43500
2929,705.98348
2841,714.98478
2829,716.28022
1161,886.09565
2005,782.15043
1931,783.79522
1527,819.66348
2511,738.27512
3727,657.50870
4201,630.20457
2723,727.45217
4403,605.24937
3323,684.68000
4415,603.87087
4013,640.25000
3909,646.39370
3827,649.25370
2135,768.93522
3225,690.63935
1515,821.02426
4447,597.58109
2811,720.45717
3129,696.28935
1805,797.32022
1205,878.78529
3335,682.28134
2501,739.91217
2939,705.51435
2425,743.20889
3605,664.94500
2115,771.85522
3501,671.90000
1111,892.90065
4033,638.36564
1065,898.08761
1513,821.59992
4017,639.99000
3707,659.40500
1165,884.98565
1715,801.69913
1605,809.96457
4511,589.06657
1911,787.42522
3733,656.64870
4401,605.56801
2105,774.19837
4311,622.01000
2737,725.22717
1625,806.37913
3701,660.48630
1053,900.80565
4111,635.24000
2611,734.46217
3709,659.26500
1547,815.61913
1511,821.81842
2153,766.25880
2141,768.10022
4519,588.40094
1563,813.00913
