identifier,coordinate
2e89fbea-7d27-4143-ba09-2fdd7d42837f,0.00000
1229a9e8-4b6a-4803-93fa-15aec4299afc,0.01545
d7f68827-79f5-4a88-a873-4bbc8530d0ea,0.69636
d5e702fc-4c68-4b60-b7e1-643b50010542,1.37727
ef76ff54-4731-4f34-8a99-ca46105c9d6f,2.05819
43ce9805-5024-423d-9b59-fb24009d590c,2.73911
cedd4c40-109a-4f02-b169-2cd68c5b9841,3.42002
01d50c6f-7b00-4d07-8d9c-6d8cab26780f,4.10094
4b2d045b-31a7-41cc-9a82-336848a80f31,4.78186
abaa87ce-d497-437c-8b6b-6f1f751361c7,5.53680
40a224a7-2f12-4414-ad00-cbdafc316073,6.29173
0ac396a2-1ceb-4b93-9bd0-ab6e1ac5c3c0,7.04667
72785f6c-b312-4282-8966-e930557f52a4,7.80161
da63b47c-cf45-49ca-8d6b-325e16177dde,8.55655
664e7e60-ea6c-4f3b-91c9-ebd3606b729d,9.31149
e971f357-5761-4f2c-a039-34a03653c810,10.06643
50d6dc30-b86e-4acb-8249-345a69df4ee1,10.82137
f0fbd6d2-2def-4344-9acb-fdd1d7a5328a,11.57631
10b066e3-203a-4c97-bb79-92b2e3bd2df7,12.33125
2f7498a5-bef8-42b4-9894-fcbd6ff58524,13.08619
409c3a19-b0fc-4690-be4b-74b229f9cb84,13.84113
fa7cc2b0-388b-46a9-8ce2-025bf56785d9,14.59607
8b05e9d1-5b78-423e-9ec6-6e41797c140e,15.23537
79c29326-5219-42b5-b508-c20f8740ff88,15.87468
3d674f37-6c3c-4989-8107-535f6f4e4a8f,16.51399
1a563b74-290d-4107-a2ca-0f1bfc502df7,17.15329
9b572b49-4e13-433c-b5c5-dfaf71de8e88,17.79260
808e1202-d81a-4929-80cb-fa55be5336e6,18.43190
a5935d1c-c60f-430a-ac72-80150550d877,19.07121
3f3a178c-323b-48ae-8312-8cc3c58d64a5,19.71052
3720c9cf-fb55-4cca-a103-366022b58a20,20.34982
b40d197c-2310-4777-bca1-916ef3355eed,20.98913
369cad3e-3d32-4234-9470-2af4a6bb8733,21.63789
092ab590-4b11-43b0-a1c4-d05fbd70fa92,22.28665
0e863ba0-8905-4545-b243-7b683675deff,22.93541
9eca8a62-bec6-4c7a-9a03-3ec629d74cdc,23.58418
018b5558-3681-4be0-bdf6-397d60fa2aea,24.23294
55310280-2c17-4182-8d7f-fc7fdac7add0,24.88170
55cee1af-1ef3-42c0-878c-62a0301eef50,25.53046
54545b89-2965-47c4-8924-de716f78f6c2,26.17922
96648ce2-81a2-48aa-b99d-e6490e5ee7f6,26.82798
9af89e6e-cfd7-49fd-a5ed-0943ce221e8b,27.47674
0b6ac763-b7a0-435c-a08a-f3fa0f4cd35f,28.12550
ddcc9875-dba0-4a77-b564-d0eda5f250a7,28.77427
78e59ff7-d06b-4a03-8c6d-f075f1c735e5,29.42303
bfad5edd-9daa-499b-a990-065f2f6ff037,30.07179
249db9d8-e9ef-40ab-942b-5c08c2775430,30.72055
a69dc250-e040-4a15-b996-246658520dd3,31.36931
46d8c1ab-bf09-4dab-bbb5-b55a67c95fcb,32.01807
29cd701c-2712-42f6-8dcd-b17f6a0a4d46,32.71792
fa5163db-e42a-4114-bd4d-cd43e0fb646e,33.41776
