id,label,coordinate,street_side,hidden
192,7621,212.68256,n,False
193,7617,213.20145,n,False
194,7615,213.90253,n,False
195,7601,214.83335,n,False
196,North Curson Avenue,216.90419,n,False
197,7575,218.10112,n,False
198,7563,219.41218,n,False
199,7561,219.93500,n,False
2158,7557,220.19000,n,False
200,7551,221.65803,n,False
201,North Sierra Bonita Avenue,223.00441,n,False
202,7533,223.71771,n,False
203,7531,224.11381,n,False
204,7529,224.29205,n,False
205,7527,224.53367,n,False
206,7525,224.34354,n,False
207,7523,225.11988,n,False
208,7519,225.36000,n,False
2159,7517,225.66000,n,False
209,7515,225.95960,n,False
2160,7513,226.06000,n,False
210,7511,226.30816,n,False
211,7509,226.86500,n,False
212,7507,226.99736,n,False
213,7505,227.73410,n,False
214,7501,228.56985,n,False
215,North Gardner Street,229.00946,n,False
216,7449,229.66307,n,False
217,7447,230.30078,n,False
218,7445,231.02563,n,False
219,7443,231.45737,n,False
220,7441,231.85346,n,False
221,7439,232.55851,n,False
222,7429,233.08135,n,False
223,7425,234.91922,n,False
224,7419,235.84608,n,False
225,7417,236.66995,n,False
226,7405,237.71168,n,False
227,7403,237.98102,n,False
228,7401,238.49198,n,False
229,North Vista Street,239.15229,n,False
230,7373,240.37342,n,False
231,7365,242.60739,n,False
2161,7363,242.99500,n,False
232,7359,243.24114,n,False
2162,7357,243.49000,n,False
2163,7355,243.85000,n,False
233,7351,243.89073,n,False
234,7349,244.03332,n,False
235,North Martel Avenue,244.59030,n,False
236,7323,246.50494,n,False
237,7305-7315,249.59051,n,False
238,North Fuller Avenue,250.52479,n,False
239,7257,254.16934,n,False
240,North Poinsettia Place,256.65253,n,False
241,7225,257.40146,n,False
242,7223,257.72626,n,False
243,7219,258.47883,n,False
244,7213,259.69880,n,False
245,7201,261.36635,n,False
246,North Formosa Avenue,262.68143,n,False
247,7181,263.59636,n,False
2164,7175,264.34000,n,False
248,7173,264.66581,n,False
249,7171,265.66396,n,False
250,7165,266.51160,n,False
251,7151,268.50791,n,False
252,North Detroit Street,269.39567,n,False
253,7135,270.72999,n,False
254,7127,272.02521,n,False
255,7107-7127,273.89477,n,False
2165,7105,275.12000,n,False
256,7101,276.14527,n,False
257,North La Brea Avenue,277.43444,n,False
258,7077,278.10989,n,False
259,7063,280.13720,n,False
260,7051,281.63443,n,False
261,7045,282.24441,n,False
2166,7039,284.18000,n,False
262,7033,284.95765,n,False
263,7023,287.21934,n,False
2167,7015,289.86500,n,False
264,7011,290.61782,n,False
265,7001,291.89324,n,False
266,North Orange Drive,292.71842,n,False
267,North Highland Avenue,307.66841,n,False
268,6767,309.46000,n,False
269,6757,312.03456,n,False
270,North McCadden Place,313.88610,n,False
271,6727,314.71215,n,False
272,6725,315.46869,n,False
273,6715,317.33825,n,False
274,6707,319.18008,n,False
275,6705,319.76630,n,False
2168,6701,320.14000,n,False
276,North Las Palmas Avenue,320.80201,n,False
277,6693,321.44177,n,False
278,6689,321.74676,n,False
279,6687,322.11117,n,False
280,6685,322.36071,n,False
281,6683,322.62213,n,False
282,6679,322.82810,n,False
2169,6677,323.12500,n,False
283,6675,323.32718,n,False
284,6671,324.60259,n,False
285,6669,325.54926,n,False
286,6665,326.22658,n,False
287,6657,327.97731,n,False
288,6641,330.36575,n,False
289,Cassi Place,334.59951,n,False
290,6613,335.43574,n,False
291,6611,335.92293,n,False
2170,6609,336.20000,n,False
292,6607,336.41409,n,False
293,6605,336.78641,n,False
294,6603,337.02407,n,False
295,6601,337.39640,n,False
296,6565,338.80649,n,False
2171,6553,340.13500,n,False
297,6547,341.42862,n,False
298,Schrader Boulevard,342.10926,n,False
299,6525,343.84875,n,False
300,6515,346.76004,n,False
301,6507,347.79780,n,False
302,6505,348.49096,n,False
303,6503,348.85537,n,False
304,6501,349.55249,n,False
305,North Wilcox Avenue,350.07310,n,False
306,6465,351.30718,n,False
2172,6461,352.31000,n,False
307,6449,353.43816,n,False
308,6445,354.40067,n,False
2173,6441,354.68000,n,False
2174,6437,354.90500,n,False
309,6435,355.14928,n,False
310,6433,355.63252,n,False
311,6427,357.72785,n,False
312,North Cahuenga Boulevard,358.56117,n,False
313,6407,360.92828,n,False
314,Ivar Avenue,362.47325,n,False
315,6363,364.62383,n,False
316,6353,367.15882,n,False
317,Morningside Court,368.37648,n,False
318,6301-6333,371.65844,n,False
319,Vine Street,374.27960,n,False
2175,6265,379.28000,n,False
320,6255,380.06040,n,False
321,Argyle Avenue,382.62842,n,False
322,6229,385.34741,n,False
323,6227,385.72766,n,False
2176,6225,386.09500,n,False
324,6223,386.23070,n,False
325,6221,386.57530,n,False
326,6219,386.90802,n,False
327,6215,387.42294,n,False
328,6209,388.55577,n,False
329,6207,388.84095,n,False
330,6203,389.33211,n,False
331,6201,389.50639,n,False
332,El Centro Avenue,390.48712,n,False
333,6121,392.97616,n,False
334,Gower Street,398.48661,n,False
335,6095,399.35326,n,False
336,6093,399.74143,n,False
337,6091,400.66829,n,False
338,6087,401.30204,n,False
339,6081,402.51408,n,False
340,6069,404.50247,n,False
341,6063,405.57984,n,False
342,6055,407.57615,n,False
343,La Blaig Avenue,408.33680,n,False
344,6023,408.85553,n,False
345,6021,409.36222,n,False
346,6019,409.58403,n,False
347,6017,409.76623,n,False
348,6015,410.07518,n,False
349,6013,410.30492,n,False
350,6011,410.58218,n,False
351,6009,410.77231,n,False
2177,6007,411.09000,n,False
352,6005,411.79819,n,False
353,6003,412.02000,n,False
354,6001,412.34084,n,False
355,Gordon Street,412.94779,n,False
356,5939,414.74116,n,False
2178,5925,418.23500,n,False
357,5907,420.49639,n,False
358,5905,420.97566,n,False
359,5901,421.25689,n,False
360,Bronson Avenue,422.65827,n,False
361,5857,424.19194,n,False
362,5851,425.42379,n,False
363,5849,425.91098,n,False
364,5831,428.26377,n,False
365,5825,431.17902,n,False
366,5817,432.03458,n,False
367,5801,433.29415,n,False
368,Van Ness Avenue,434.77920,n,False
369,5757,435.64298,n,False
370,5751,436.39952,n,False
371,Hollywood Freeway,442.04488,n,False
372,North Wilton Place,446.82995,n,False
373,5657,448.80515,n,False
374,5641,450.02908,n,False
375,5639,450.90049,n,False
376,5625,452.98790,n,False
377,5621,454.30689,n,False
378,5615,455.25751,n,False
379,5609,456.57254,n,False
380,North Saint Andrew's Place,458.70638,n,False
381,5565,459.39668,n,False
2180,5555,459.50500,n,False
2179,5553,459.58000,n,False
382,5551,459.65810,n,False
383,5549,459.89972,n,False
384,5547,460.55327,n,False
2181,5545,461.78500,n,False
385,5543,461.88018,n,False
386,5541,462.24855,n,False
387,5539,462.47036,n,False
388,5537,463.10411,n,False
389,5535,463.51209,n,False
390,5533,464.05473,n,False
391,5529,464.75978,n,False
392,5527,465.12815,n,False
393,5525,465.37768,n,False
394,5523,465.67872,n,False
395,5521,466.05896,n,False
396,5519,466.57389,n,False
397,5515,467.06504,n,False
398,5509,467.79385,n,False
399,Western Avenue,471.10667,n,False
400,5453,473.52136,n,False
401,5451,473.93725,n,False
402,5445,475.07800,n,False
403,5435,476.09596,n,False
404,5419,478.15168,n,False
405,5409,480.44506,n,False
406,5405,481.25705,n,False
407,5401,482.21956,n,False
408,Serrano Avenue,482.94797,n,False
409,5357,484.15645,n,False
410,5351,484.60404,n,False
411,5343,485.36057,n,False
412,5341,485.70914,n,False
413,5325,486.39042,n,False
2182,5319,486.49000,n,False
414,5317,486.78255,n,False
2183,5313,488.52500,n,False
415,5301,489.63442,n,False
416,Hobart Boulevard,490.98186,n,False
417,5287,492.34369,n,False
418,5271,493.59535,n,False
419,5265,494.54993,n,False
420,5255,496.79578,n,False
421,North Harvard Boulevard,498.07282,n,False
422,5237,498.98221,n,False
423,5235,499.23571,n,False
424,5233,499.66349,n,False
2184,5231,499.75000,n,False
2185,5229,499.97000,n,False
425,5225,500.14673,n,False
426,5213,500.82404,n,False
427,5211,501.43799,n,False
428,5209,501.74694,n,False
429,5207,502.21433,n,False
430,5205,502.70945,n,False
431,5203,503.32339,n,False
432,5201,503.67591,n,False
433,North Kingsley Drive,504.11560,n,False
434,5187,504.94737,n,False
435,5185,505.39100,n,False
436,5183,505.73956,n,False
437,5167,506.35350,n,False
438,5161,507.94976,n,False
439,5153,508.70233,n,False
440,Winona Boulevard,510.33311,n,False
441,5143,511.01156,n,False
442,5125-5137,512.89300,n,False
443,5125,514.24367,n,False
444,5121,514.77048,n,False
